dataset,scenario,method,A_cov,A_cov_sd,A_gap,A_info,A_wrmse,A_inf
appliances,directional,Estimated-WCP-HGB,0.015429999999999968,0.014967723168274612,0.022794999999999926,1.1372510986852769,0.9984098909476803,0.0
appliances,directional,Estimated-WCP-Logit,0.011154999999999974,0.012868912970901276,0.02037999999999992,1.1389335709311137,0.4648110302985898,0.0
appliances,directional,Estimated-WCP-uLSIF,0.030914999999999953,0.019621102361863773,0.03234499999999993,0.831253252200465,1.192378976544631,0.0
appliances,directional,Known-tilt-WCP-Ridge,0.011544999999999975,0.014031298660682211,0.02138499999999992,1.117674863741378,0.0,0.0
appliances,radial,Estimated-WCP-HGB,0.021709999999999972,0.022140553409143976,0.02792999999999992,1.2613778735198728,1.0760119527491656,0.0
appliances,radial,Estimated-WCP-Logit,0.011839999999999977,0.015645359157203578,0.023599999999999906,1.006637588377154,1.941827574623509,0.0
appliances,radial,Estimated-WCP-uLSIF,0.05077999999999996,0.029932337732045976,0.05253999999999994,0.5075931771978843,2.681192377545881,0.0
appliances,radial,Known-tilt-WCP-Ridge,0.013239999999999983,0.019103331205784342,0.02732999999999991,1.2433473246793163,0.0,0.0
ccpp,directional,Estimated-WCP-HGB,0.015129999999999963,0.013361299180449218,0.02526999999999991,0.9633532949427123,0.9177359206772252,0.0
ccpp,directional,Estimated-WCP-Logit,0.012719999999999978,0.012274989548714582,0.023439999999999905,0.8652327996091881,0.23089692838164697,0.0
ccpp,directional,Estimated-WCP-uLSIF,0.029574999999999952,0.021147872233395006,0.03363999999999991,0.7625835060875867,0.7377388084714972,0.0
ccpp,directional,Known-tilt-WCP-Ridge,0.011234999999999969,0.012510933113418063,0.023194999999999896,0.8812842050196565,0.0,0.0
ccpp,radial,Estimated-WCP-HGB,0.015509999999999972,0.020260251466200606,0.03191999999999991,1.249819267396142,1.0128543788710895,0.0
ccpp,radial,Estimated-WCP-Logit,0.03521999999999993,0.023242058066313628,0.03784999999999992,0.23516072639730656,2.6883944812495733,0.0
ccpp,radial,Estimated-WCP-uLSIF,0.026909999999999944,0.020984452891555063,0.029979999999999916,0.2701955171669762,2.5634197077755987,0.0
ccpp,radial,Known-tilt-WCP-Ridge,0.013759999999999984,0.01524130122915673,0.026759999999999916,1.2139404673478533,0.0,0.0
gas_turbine_nox,directional,Estimated-WCP-HGB,0.011154999999999976,0.008985747486700063,0.01926499999999992,1.0121348801696366,0.8632141287494595,0.0
gas_turbine_nox,directional,Estimated-WCP-Logit,0.007339999999999974,0.007941920754021519,0.015864999999999897,1.0069937972317242,0.27925836525003994,0.0
gas_turbine_nox,directional,Estimated-WCP-uLSIF,0.046769999999999944,0.016941108520245562,0.04695499999999994,0.8419503025483703,0.8166314847553201,0.0
gas_turbine_nox,directional,Known-tilt-WCP-Ridge,0.007504999999999977,0.006539875662748512,0.0148199999999999,0.9948741338591125,0.0,0.0
gas_turbine_nox,radial,Estimated-WCP-HGB,0.023789999999999974,0.023718478250644884,0.032789999999999916,1.2382112214948733,0.9392708458257996,0.0
gas_turbine_nox,radial,Estimated-WCP-Logit,0.004519999999999988,0.008539296162293947,0.08457999999999989,1.3564947657503634,1.0931287180154488,0.0018499999999999875
gas_turbine_nox,radial,Estimated-WCP-uLSIF,0.15337999999999996,0.018930554527980478,0.15366999999999997,0.6838955497471433,2.221478867344111,0.0
gas_turbine_nox,radial,Known-tilt-WCP-Ridge,0.007809999999999978,0.010860158959774878,0.01773999999999993,1.2228288821793851,0.0,0.0
online_news,directional,Estimated-WCP-HGB,0.019169999999999972,0.012177896283625372,0.023034999999999948,0.6193652106267572,1.0023758588921385,0.0
online_news,directional,Estimated-WCP-Logit,0.022614999999999986,0.076472205305003,0.07948499999999988,1.2932621459832432,2.7133056227806183,0.0008299999999999899
online_news,directional,Estimated-WCP-uLSIF,0.08114499999999994,0.023570531892263494,0.08146999999999993,0.1712961528398005,1.8949696571883858,0.0
online_news,directional,Known-tilt-WCP-Ridge,0.0059199999999999895,0.007599487517347189,0.01590499999999991,0.7171613898780562,0.0,0.0
online_news,radial,Estimated-WCP-HGB,0.08201999999999995,0.04166830930095437,0.08565999999999993,0.6083763535497512,0.7185000008026796,0.0
online_news,radial,Estimated-WCP-Logit,0.04810999999999999,0.0758788639872791,0.09664999999999992,1.413800823723686,2.8821646788883526,0.011759999999999961
online_news,radial,Estimated-WCP-uLSIF,0.17642999999999995,0.04858057983229623,0.17721999999999993,0.12171527349074729,1.1398599652951191,0.0
online_news,radial,Known-tilt-WCP-Ridge,0.011229999999999974,0.014284813430242689,0.02790999999999989,0.955616625568363,0.0,0.0
superconductivity,directional,Estimated-WCP-HGB,0.013134999999999961,0.010211720562280627,0.01943999999999992,0.6768126065171275,1.0199859262669901,0.0
superconductivity,directional,Estimated-WCP-Logit,0.009184999999999985,0.007761122748403696,0.01817999999999993,0.6415003439297642,0.794944179931041,0.0
superconductivity,directional,Estimated-WCP-uLSIF,0.010259999999999967,0.008806361337124402,0.018249999999999912,0.625531093118233,1.5372521557388044,0.0
superconductivity,directional,Known-tilt-WCP-Ridge,0.008099999999999979,0.007759205059662647,0.016224999999999924,0.5507500924386177,0.0,0.0
superconductivity,radial,Estimated-WCP-HGB,0.017499999999999974,0.01937252530885183,0.02444999999999992,1.2548928243933715,1.0643890676576349,0.0
superconductivity,radial,Estimated-WCP-Logit,0.025909999999999978,0.0373028840425876,0.03943999999999993,1.4153225750353289,1.1155791093344036,0.0003099999999999975
superconductivity,radial,Estimated-WCP-uLSIF,0.00254999999999999,0.0031695093427349494,0.043289999999999884,0.3873113455656724,2.496494094709321,0.0
superconductivity,radial,Known-tilt-WCP-Ridge,0.013209999999999967,0.011817823292316586,0.022349999999999922,1.2727026374464798,0.0,0.0
