dimension,poly_feature_count,fit_seconds_mean,fit_seconds_median,n_iter_mean,convergence_rate,auc_mean,ess_ratio_mean,weight_rmse_mean
5,20,0.011389574588880153,0.008357239999895651,5.752777777777778,1.0,0.6411769644444445,0.601801661415958,0.26515217473239916
20,230,0.05801888861391006,0.03170628350017065,9.377777777777778,1.0,0.6511927855555555,0.2445084604017792,1.0336035979118767
50,1325,0.2808094590861085,0.2303220695000618,23.058333333333334,1.0,0.6315429733333333,0.027907963176260417,5.768950421450664
100,5150,0.9705373640194466,0.99398637399986,13.0,1.0,0.6304881277777779,0.034999565942052495,4.93194024830844
