dataset,shift_mode,severity,method,coverage_mean,coverage_sd,coverage_gap_mean,coverage_deficit_mean,width_mean,interval_score_mean,infinite_fraction_mean,ess_ratio_mean,weight_cv_mean,max_normalized_weight_mean,shift_auc_mean,mmd2_mean,log_weight_rmse_mean,log_weight_mae_mean,log_weight_corr_mean,target_unlabeled_unique_fraction_mean,target_test_unique_fraction_mean,n_reps,coverage_se,coverage_ci95_low,coverage_ci95_high
appliances,directional,0.0,CQR-GBR,0.89936,0.008607854430387241,0.007039999999999949,0.003839999999999985,2.224041835370695,3.7185052067264897,0.0,1.0,0.0,0.00020271639975669997,,0.0032570325849754097,,,,0.9294,0.8400399999999999,20,0.0019247747646768602,0.8953314001182133,0.9033885998817868
appliances,directional,0.0,Estimated-WCP-Primary,0.89768,0.008651960532308928,0.007039999999999945,0.0046799999999999845,2.0003303705329265,4.639777982000445,0.0,0.9624117127850346,0.19615134326738617,0.00040039614356692,0.5029021609568214,0.0032570325849754097,0.19509954810285715,0.153248998677942,,0.9294,0.8400399999999999,20,0.0019346371888888027,0.8936307578271029,0.9017292421728972
appliances,directional,0.0,Estimated-WCP-Sensitivity,0.89794,0.009587952967409826,0.0076599999999999654,0.00485999999999999,2.0015587001335637,4.640386981431046,0.0,0.9830975685636323,0.12911183469055382,0.000311091502705285,0.5018870261504156,0.0032570325849754097,0.12910465201906576,0.10178609726112617,,0.9294,0.8400399999999999,20,0.0021439314600199197,0.8934526998831755,0.9024273001168244
appliances,directional,0.0,Oracle-WCP-Ridge,0.8987,0.010007891622956473,0.0072999999999999645,0.0043,2.017745792595621,4.640798270747465,0.0,1.0,0.0,0.00020271639975669997,,0.0032570325849754097,0.0,0.0,1.0,0.9294,0.8400399999999999,20,0.0022378325980381367,0.8940161625425672,0.9033838374574329
appliances,directional,0.0,SCP-Ridge,0.8987,0.010007891622956473,0.0072999999999999645,0.0043,2.017745792595621,4.640798270747465,0.0,1.0,0.0,0.00020271639975669997,,0.0032570325849754097,,,,0.9294,0.8400399999999999,20,0.0022378325980381367,0.8940161625425672,0.9033838374574329
appliances,directional,0.5,CQR-GBR,0.9018599999999999,0.00999559903157385,0.00781999999999998,0.0029799999999999952,2.2564231781146424,3.753274360869426,0.0,1.0,0.0,0.00020271639975669997,,0.02999307709027855,,,,0.9065,0.79954,20,0.0022350838910430194,0.8971819156524263,0.9065380843475734
appliances,directional,0.5,Estimated-WCP-Primary,0.8988799999999999,0.01003706813975602,0.00699999999999996,0.0040599999999999855,2.0680516974342225,4.628088365124028,0.0,0.7165638842696423,0.6292034773329572,0.00097574885823495,0.637852540036489,0.02999307709027855,0.2008535826414576,0.1582651515295456,0.9273421623121723,0.9065,0.79954,20,0.002244356665529182,0.8941825075123757,0.9035774924876241
appliances,directional,0.5,Estimated-WCP-Sensitivity,0.8981,0.009986833437344566,0.0072199999999999695,0.0045599999999999955,2.057535640112243,4.627973479280508,0.0,0.7441338781030058,0.5864520246596192,0.000829469982125295,0.6418644881410906,0.02999307709027855,0.1332202419265313,0.10468222838479738,0.9659594747242611,0.9065,0.79954,20,0.0022331238445870336,0.8934260180768065,0.9027739819231935
appliances,directional,0.5,Oracle-WCP-Ridge,0.8981999999999999,0.009885662132071581,0.007239999999999964,0.004519999999999984,2.062394387588887,4.627871832632056,0.0,0.7380309523932673,0.5957863397801717,0.000767116739354625,,0.02999307709027855,0.0,0.0,1.0,0.9065,0.79954,20,0.0022105012529907556,0.8935733677051906,0.9028266322948092
appliances,directional,0.5,SCP-Ridge,0.8953200000000001,0.009893836465193873,0.008439999999999965,0.0065599999999999895,2.017745792595621,4.628553154122657,0.0,1.0,0.0,0.00020271639975669997,,0.02999307709027855,,,,0.9065,0.79954,20,0.002212329089443973,0.8906895419995267,0.8999504580004736
