axis,value,method,n,predictor_fit_s_median,predictor_fit_s_q25,predictor_fit_s_q75,calibration_s_median,calibration_s_q25,calibration_s_q75,ratio_or_localization_fit_s_median,ratio_or_localization_fit_s_q25,ratio_or_localization_fit_s_q75,weight_eval_s_median,weight_eval_s_q25,weight_eval_s_q75,inference_s_median,inference_s_q25,inference_s_q75,total_method_s_median,total_method_s_q25,total_method_s_q75,peak_rss_delta_mb,peak_rss_mb,base_rss_mb
reference,1000.0,SCP-Ridge,5,0.001449011000659,0.0013993149987072,0.0014914690000296,0.0001875390007626,0.0001754789991537,0.0001978119998966,0.0,0.0,0.0,0.0,0.0,0.0,0.0001044339987856,0.0001021600000967,0.0001048079993779,0.0017234850001841,0.0016890139995666,0.0017937149987119,0.5390625,189.24609375,188.70703125
reference,1000.0,Oracle-WCP-Ridge,5,0.0016071090012701,0.0015673570014769,0.0017232419995707,0.0001896280009532,0.000182080999366,0.0001923549989442,0.0,0.0,0.0,4.944900138070807e-05,4.938600068271626e-05,4.995000017515849e-05,0.0002615580015117,0.0002576860006229,0.000397289999455,0.0020990960019844,0.0020605910031008,0.0023628369981452,0.91015625,189.7890625,188.87890625
reference,1000.0,uLSIF-WCP-Ridge,5,0.0015028950001578,0.0014909840010659,0.0015217359996313,0.0002301759996043,0.0002283780013385,0.0002327449983567,0.0275883579997753,0.0273838769990106,0.0279575580007076,0.0026526349993218,0.0026503190001676,0.0027828220008814,0.0003690559988172,0.0002886479996959,0.0003870099990308,0.0322056649965816,0.0320394849986769,0.0327371980019961,5.2421875,193.6796875,188.4375
reference,1000.0,Estimated-WCP-Logistic,5,0.001449068000511,0.0014425429999391,0.001468169999498,0.0001849039999797,0.0001822160011215,0.0001962309997907,0.0343380639988026,0.034016295998299,0.0347437810014525,0.0171716510012629,0.0171617260002676,0.0173995410004863,0.0003310000010969,0.0003075149998039,0.0004355789988039,0.0536343550011224,0.0531437060017196,0.0538469940020149,8.15625,196.875,188.71875
reference,1000.0,RLCP-Ridge,5,0.0014233319998311,0.0013413140004558,0.0015366099996754,0.0002471290008543,0.0001917090012284,0.000329246999172,0.072641716000362,0.072358482000709,0.0873832230008702,0.0,0.0,0.0,0.0417134330000408,0.0411074740004551,0.0484014470002875,0.1156704029999673,0.1150384760003362,0.1405393120021472,7.20703125,195.80859375,188.6015625
reference,1000.0,HGB-WCP-Ridge,5,0.0016082669990282,0.001437041999452,0.0016454340002383,0.0002036979985859,0.0001834810009313,0.0003744730001926,0.1689073639990965,0.158735847000571,0.1753888729999744,0.0102589369998895,0.0102412890009873,0.0114477569986775,0.0004723329984699,0.0003991149987996,0.000479002999782,0.1813395159988431,0.172511738997855,0.1893820109962689,3.93359375,192.609375,188.67578125
reference,1000.0,KMM-CP-Ridge,5,0.0016218070013565,0.0014650209996034,0.0028322869984549,0.0001828120002755,0.0001739939998515,0.0002004950001719,0.2535124629994243,0.2404260780003824,0.262182775999463,0.0002509480000298,0.0002013889989029,0.0002711019988055,0.00037824500032,0.0003691919991979,0.0005256869990262,0.2558738789975905,0.2428002770011517,0.2666265579973697,24.30078125,212.90234375,188.6015625
reference,1000.0,CQR-GBR,5,1.2985866060007538,1.2916304560003482,1.2987641429990615,0.0026541509996604,0.0026229929990222,0.002759689999948,0.0,0.0,0.0,0.0,0.0,0.0,0.0025105090007855,0.0024489530005666,0.0026400669994472,1.3037403369999083,1.2970302129997435,1.3039139779994002,1.98046875,190.8984375,188.91796875
