target_year,method,coverage,coverage_sd,coverage_deficit,coverage_gap,width,interval_score,inf_fraction,ess_ratio,domain_auc,mmd2,point_rmse
2014,Estimated-WCP-HGB,0.9832000000000001,0.014274010243132532,0.0,0.08319999999999997,4.455594786643277,5.121280832097146,0.7229,0.035937612256935855,0.9954370499999999,0.016940296559302383,0.7874083924634014
2014,Estimated-WCP-Logit,0.88255,0.02661118680476119,0.02190000000000002,0.026350000000000023,2.391443218957383,3.513617802270416,0.007150000000000006,0.6462735119103438,0.9944178000000001,0.016940296559302383,0.7874083924634014
2014,KMM-CP-Ridge,0.8778499999999999,0.028766345467906546,0.024650000000000016,0.027150000000000018,2.343195515717959,3.529890661101741,0.0,0.4988994700101112,,0.016940296559302383,0.7874083924634014
2014,RLCP-Ridge,0.8486499999999999,0.018230324649937124,0.05135000000000004,0.05135000000000004,2.1766737982884146,3.6067628860561505,5e-05,,,0.016940296559302383,0.7874083924634014
2014,SCP-Ridge,0.85565,0.01757472766877425,0.044350000000000035,0.044350000000000035,2.1882928094487264,3.5569714969005046,0.0,1.0,,0.016940296559302383,0.7874083924634014
2014,Target-Cal-SCP-Reference,0.8954000000000001,0.01603417403055442,0.008450000000000008,0.01230000000000001,2.475082103423719,3.4987641070975024,0.0,1.0,,0.016940296559302383,0.7874083924634014
2015,Estimated-WCP-HGB,0.9769500000000001,0.01781328599373897,0.0,0.07694999999999996,4.78175855952271,5.235621532479785,0.5972,0.020318167375815207,0.99373175,0.04465956426907467,1.0707921397213616
2015,Estimated-WCP-Logit,0.81505,0.053241727798291526,0.08590000000000002,0.08685000000000001,2.667631811460551,4.217846612082611,0.09114999999999998,0.3808186393012684,0.9847702999999999,0.04465956426907467,1.0707921397213616
2015,KMM-CP-Ridge,0.826,0.07520918197023273,0.07925000000000001,0.08450000000000002,2.8408958024824855,4.225428294963036,0.0,0.16727008227879675,,0.04465956426907467,1.0707921397213616
2015,RLCP-Ridge,0.64845,0.04243691913020028,0.25155000000000005,0.25155000000000005,2.223255009432827,5.29543180350373,0.00030000000000000003,,,0.04465956426907467,1.0707921397213616
2015,SCP-Ridge,0.6391,0.042374148027454595,0.2609,0.2609,2.1882928094487264,5.100610371252904,0.0,1.0,,0.04465956426907467,1.0707921397213616
2015,Target-Cal-SCP-Reference,0.8999499999999999,0.012930889170387394,0.005100000000000005,0.01015000000000001,3.169752847952639,4.0156908491607535,0.0,1.0,,0.04465956426907467,1.0707921397213616
