contrast_type,target_year,method,metric,n,mean_difference,ci95_low,ci95_high
method_minus_scp,2014,Estimated-WCP-Logit,coverage_deficit,20,-0.022450000000000015,-0.026667531623374846,-0.018232468376625184
method_minus_scp,2014,Estimated-WCP-Logit,coverage_gap,20,-0.01800000000000001,-0.023424038409765122,-0.012575961590234896
method_minus_scp,2014,Estimated-WCP-Logit,mean_width_finite,20,0.20315040950865654,0.13363811919227808,0.272662699825035
method_minus_scp,2014,Estimated-WCP-Logit,interval_score_finite,20,-0.04335369463008878,-0.06985829654804727,-0.016849092712130278
method_minus_scp,2014,Estimated-WCP-HGB,coverage_deficit,20,-0.044350000000000035,-0.05257522573789315,-0.03612477426210692
method_minus_scp,2014,Estimated-WCP-HGB,coverage_gap,20,0.038849999999999926,0.026944743959310888,0.050755256040688965
method_minus_scp,2014,Estimated-WCP-HGB,mean_width_finite,20,2.2673019771945513,1.8928035013465834,2.6418004530425194
method_minus_scp,2014,Estimated-WCP-HGB,interval_score_finite,20,1.5643093351966413,1.3305962532046771,1.7980224171886054
method_minus_scp,2014,KMM-CP-Ridge,coverage_deficit,20,-0.019700000000000016,-0.02997513373357881,-0.00942486626642122
method_minus_scp,2014,KMM-CP-Ridge,coverage_gap,20,-0.017200000000000014,-0.027458852414947412,-0.006941147585052616
method_minus_scp,2014,KMM-CP-Ridge,mean_width_finite,20,0.15490270626923247,0.0799706304442781,0.22983478209418684
method_minus_scp,2014,KMM-CP-Ridge,interval_score_finite,20,-0.027080835798763903,-0.061710775698979134,0.007549104101451331
method_minus_scp,2014,RLCP-Ridge,coverage_deficit,20,0.007000000000000006,0.002673114192587654,0.011326885807412358
method_minus_scp,2014,RLCP-Ridge,coverage_gap,20,0.007000000000000006,0.002673114192587654,0.011326885807412358
method_minus_scp,2014,RLCP-Ridge,mean_width_finite,20,-0.01161901116031212,-0.029788670282698236,0.006550647962073997
method_minus_scp,2014,RLCP-Ridge,interval_score_finite,20,0.049791389155645585,0.029535171795499946,0.07004760651579123
method_minus_scp,2014,Target-Cal-SCP-Reference,coverage_deficit,20,-0.03590000000000003,-0.042829974380661225,-0.028970025619338834
method_minus_scp,2014,Target-Cal-SCP-Reference,coverage_gap,20,-0.03205000000000002,-0.040886318390995734,-0.023213681609004312
method_minus_scp,2014,Target-Cal-SCP-Reference,mean_width_finite,20,0.28678929397499264,0.23764649845518457,0.3359320894948007
method_minus_scp,2014,Target-Cal-SCP-Reference,interval_score_finite,20,-0.05820738980300237,-0.07824157536085494,-0.038173204245149805
method_minus_scp,2015,Estimated-WCP-Logit,coverage_deficit,20,-0.17500000000000004,-0.1915739573514153,-0.1584260426485848
method_minus_scp,2015,Estimated-WCP-Logit,coverage_gap,20,-0.17405000000000004,-0.19104192199770895,-0.15705807800229113
method_minus_scp,2015,Estimated-WCP-Logit,mean_width_finite,20,0.479339002011824,0.38988959832060466,0.5687884057030433
method_minus_scp,2015,Estimated-WCP-Logit,interval_score_finite,20,-0.8827637591702929,-0.9964956104465605,-0.7690319078940253
method_minus_scp,2015,Estimated-WCP-HGB,coverage_deficit,20,-0.2609,-0.280731711736619,-0.24106828826338106
method_minus_scp,2015,Estimated-WCP-HGB,coverage_gap,20,-0.18395000000000009,-0.2041152361660343,-0.16378476383396587
method_minus_scp,2015,Estimated-WCP-HGB,mean_width_finite,20,2.593465750073984,2.2413008758733506,2.9456306242746173
method_minus_scp,2015,Estimated-WCP-HGB,interval_score_finite,20,0.13501116122688117,-0.14652724567765169,0.416549568131414
method_minus_scp,2015,KMM-CP-Ridge,coverage_deficit,20,-0.18164999999999998,-0.2104232317037466,-0.15287676829625335
method_minus_scp,2015,KMM-CP-Ridge,coverage_gap,20,-0.17639999999999997,-0.20517688749579438,-0.14762311250420557
method_minus_scp,2015,KMM-CP-Ridge,mean_width_finite,20,0.6526029930337591,0.50740486285146,0.7978011232160582
method_minus_scp,2015,KMM-CP-Ridge,interval_score_finite,20,-0.8751820762898677,-1.0322012528885158,-0.7181628996912195
